Setpoint,Reactor Temperature,Jacket Temperature,Action
45.30756431,45.0828,39.7327,[0.25]
45.33274461,45.1639,39.5396,[0.25]
45.35787381,45.2436,39.4034,[0.25]
45.38295209,45.3222,39.3107,[0.25]
45.40797961,45.4,39.2513,[0.25]
45.43295652,45.4771,39.2174,[0.25]
45.457883,45.5537,39.203,[0.25]
45.4827592,45.6298,39.2035,[0.25]
45.50758529,45.7055,39.2154,[0.25]
45.53236143,45.7809,39.236,[0.25]
45.55708777,45.856,39.2633,[0.25]
45.58176448,45.9309,39.2957,[0.25]
45.60639171,46.0056,39.3319,[0.25]
45.63096964,46.0801,39.3711,[0.25]
45.6554984,46.1544,39.4125,[0.25]
45.67997817,46.2285,39.4556,[0.25]
45.70440911,46.3025,39.5,[0.25]
45.72879136,46.3763,39.5453,[0.25]
45.75312509,46.45,39.5913,[0.25]
45.77741045,46.5235,39.6379,[0.25]
45.80164759,46.5969,39.6848,[0.25]
45.82583669,46.6702,39.732,[0.25]
45.84997788,46.7433,39.7794,[0.25]
45.87407132,46.8163,39.827,[0.25]
45.89811718,46.8892,39.8746,[0.25]
45.9221156,46.9619,39.9223,[0.25]
45.94606673,47.0345,39.97,[0.25]
45.96997074,47.107,40.0176,[0.25]
45.99382776,47.1794,40.0652,[0.25]
46.01763796,47.2516,40.1128,[0.25]
46.04140149,47.3237,40.1603,[0.25]
46.06511849,47.3957,40.2078,[0.25]
46.08878913,47.4675,40.2552,[0.25]
46.11241354,47.5392,40.3026,[0.25]
46.13599188,47.6108,40.3499,[0.25]
46.1595243,47.6823,40.3971,[0.25]
46.18301095,47.7537,40.4442,[0.25]
46.20645197,47.8249,40.4913,[0.25]
46.22984752,47.896,40.5383,[0.25]
46.25319775,47.967,40.5852,[0.25]
46.27650279,48.0379,40.632,[0.25]
46.2997628,48.1086,40.6787,[0.25]
46.32297793,48.1792,40.7254,[0.25]
46.34614832,48.2497,40.772,[0.25]
46.36927411,48.3201,40.8185,[0.25]
46.39235546,48.3904,40.8649,[0.25]
46.4153925,48.4605,40.9112,[0.25]
46.43838539,48.5305,40.9575,[0.25]
46.46133427,48.6004,41.0037,[0.25]
46.48423927,48.6702,41.0498,[0.25]
46.50710055,48.7399,41.0958,[0.25]
46.52991824,48.8094,41.1417,[0.25]
46.55269249,48.8788,41.1876,[0.25]
46.57542344,48.9481,41.2334,[0.25]
46.59811124,49.0173,41.2791,[0.25]
46.62075602,49.0864,41.3247,[0.25]
46.64335793,49.1553,41.3703,[0.25]
46.6659171,49.2241,41.4158,[0.25]
46.68843368,49.2928,41.4612,[0.25]
46.7109078,49.3614,41.5065,[0.25]
46.73333961,49.4299,41.5517,[0.25]
46.75572924,49.4983,41.5969,[0.25]
46.77807684,49.5665,41.642,[0.25]
46.80038253,49.6346,41.687,[0.25]
46.82264646,49.7026,41.7319,[0.25]
46.84486877,49.7705,41.7767,[0.25]
46.86704959,49.8383,41.8215,[0.25]
46.88918906,49.906,41.8662,[0.25]
46.91128732,49.9735,41.9108,[0.25]
46.93334449,50.0409,41.9554,[0.25]
46.95536073,50.1082,41.9999,[0.25]
46.97733615,50.1754,42.0443,[0.25]
46.9992709,50.2425,42.0886,[0.25]
47.0211651,50.3095,42.1328,[0.25]
47.0430189,50.3764,42.177,[0.25]
47.06483243,50.4431,42.2211,[0.25]
47.08660582,50.5097,42.2651,[0.25]
47.1083392,50.5762,42.3091,[0.25]
47.1300327,50.6426,42.353,[0.25]
47.15168646,50.7089,42.3968,[0.25]
47.17330061,50.7751,42.4405,[0.25]
47.19487528,50.8412,42.4841,[0.25]
47.21641059,50.9072,42.5277,[0.25]
47.23790669,50.973,42.5712,[0.25]
47.25936369,51.0387,42.6146,[0.25]
47.28078173,51.1043,42.658,[0.25]
47.30216094,51.1698,42.7013,[0.25]
47.32350145,51.2352,42.7445,[0.25]
47.34480338,51.3005,42.7876,[0.25]
47.36606687,51.3657,42.8307,[0.25]
47.38729203,51.4308,42.8737,[0.25]
47.40847901,51.4958,42.9166,[0.25]
47.42962791,51.5606,42.9595,[0.25]
47.45073888,51.6253,43.0023,[0.25]
47.47181204,51.6899,43.045,[0.25]
47.4928475,51.7544,43.0876,[0.25]
47.51384541,51.8188,43.1301,[0.25]
47.53480588,51.8831,43.1726,[0.25]
47.55572903,51.9473,43.215,[0.25]
47.576615,52.0114,43.2573,[0.25]
47.5974639,52.0754,43.2996,[0.25]
47.61827586,52.1393,43.3418,[0.25]
47.63905101,52.2031,43.3839,[0.25]
47.65978945,52.2668,43.426,[0.25]
47.68049133,52.3303,43.468,[0.25]
47.70115675,52.3937,43.5099,[0.25]
47.72178585,52.457,43.5517,[0.25]
47.74237873,52.5202,43.5935,[0.25]
47.76293553,52.5833,43.6352,[0.25]
47.78345636,52.6463,43.6768,[0.25]
47.80394135,52.7092,43.7183,[0.25]
47.8243906,52.772,43.7598,[0.25]
47.84480425,52.8347,43.8012,[0.25]
47.86518241,52.8973,43.8426,[0.25]
47.8855252,52.9598,43.8839,[0.25]
47.90583274,53.0222,43.9251,[0.25]
47.92610515,53.0845,43.9662,[0.25]
47.94634254,53.1467,44.0073,[0.25]
47.96654503,53.2088,44.0483,[0.25]
47.98671274,53.2708,44.0892,[0.25]
48.00684578,53.3327,44.1301,[0.25]
48.02694428,53.3945,44.1709,[0.25]
48.04700834,53.4562,44.2117,[0.25]
48.06703808,53.5178,44.2524,[0.25]
48.08703362,53.5793,44.293,[0.25]
48.10699507,53.6406,44.3336,[0.25]
48.12692255,53.7018,44.3741,[0.25]
48.14681617,53.7629,44.4145,[0.25]
48.16667605,53.8239,44.4548,[0.25]
48.18650229,53.8848,44.495,[0.25]
48.20629501,53.9456,44.5352,[0.25]
48.22605432,54.0063,44.5753,[0.25]
48.24578034,54.0669,44.6153,[0.25]
48.26547318,54.1274,44.6553,[0.25]
48.28513295,54.1878,44.6952,[0.25]
48.30475976,54.2481,44.735,[0.25]
48.32435372,54.3083,44.7748,[0.25]
48.34391494,54.3684,44.8145,[0.25]
48.36344353,54.4284,44.8541,[0.25]
48.38293961,54.4883,44.8937,[0.25]
